,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,2021-2022,Premier-League,Alisson,br BRA,GK,Liverpool,29-043,1992,10.0,10.0,900.0,10.0,11.0,1.1,33.0,22.0,66.7,5.0,4.0,1.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.8,0.27,-1.2,-0.12,55.0,95.0,57.9,290.0,53.0,23.4,30.6,56.0,48.2,40.9,85.0,9.0,10.6,13.0,1.3,16.6
1,2021-2022,Premier-League,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-042,1994,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.18,0.4,0.36,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.0
2,2021-2022,Premier-League,Daniel Bachmann,at AUT,GK,Watford,27-128,1994,4.0,4.0,360.0,4.0,7.0,1.75,17.0,12.0,64.7,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.8,0.28,-0.2,-0.05,19.0,45.0,42.2,95.0,27.0,34.7,35.4,35.0,34.3,36.2,38.0,2.0,5.3,1.0,0.25,12.2
3,2021-2022,Premier-League,Asmir Begović,ba BIH,GK,Everton,34-147,1987,1.0,1.0,90.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0
4,2021-2022,Premier-League,Karl Darlow,eng ENG,GK,Newcastle Utd,31-037,1990,7.0,7.0,630.0,7.0,12.0,1.71,34.0,24.0,70.6,0.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.9,0.24,-2.1,-0.29,67.0,155.0,43.2,170.0,28.0,65.3,49.7,58.0,75.9,58.8,60.0,7.0,11.7,4.0,0.57,15.1
5,2021-2022,Premier-League,Ederson,br BRA,GK,Manchester City,28-089,1993,10.0,10.0,900.0,10.0,6.0,0.6,16.0,11.0,68.8,6.0,2.0,2.0,6.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.24,-1.2,-0.12,38.0,69.0,55.1,248.0,50.0,23.4,29.8,44.0,25.0,33.6,51.0,4.0,7.8,13.0,1.3,17.1
6,2021-2022,Premier-League,Łukasz Fabiański,pl POL,GK,West Ham,36-210,1985,11.0,11.0,990.0,11.0,13.0,1.18,43.0,28.0,69.8,7.0,2.0,2.0,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.1,0.29,-0.9,-0.09,67.0,152.0,44.1,195.0,51.0,47.7,40.9,82.0,72.0,53.3,104.0,6.0,5.8,1.0,0.09,11.8
7,2021-2022,Premier-League,Álvaro Fernández,es ESP,GK,Brentford,23-215,1998,2.0,2.0,180.0,2.0,5.0,2.5,9.0,5.0,55.6,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.45,-0.1,-0.04,13.0,32.0,40.6,75.0,11.0,37.3,33.7,11.0,36.4,32.9,14.0,0.0,0.0,3.0,1.5,14.2
8,2021-2022,Premier-League,Ben Foster,eng ENG,GK,Watford,38-225,1983,7.0,7.0,630.0,7.0,12.0,1.71,31.0,19.0,61.3,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,2.0,0.0,12.1,0.36,0.1,0.02,67.0,162.0,41.4,174.0,22.0,62.1,49.5,63.0,85.7,63.2,69.0,4.0,5.8,8.0,1.14,17.0
9,2021-2022,Premier-League,David de Gea,es ESP,GK,Manchester Utd,31-007,1990,11.0,11.0,990.0,11.0,17.0,1.55,47.0,31.0,63.8,5.0,2.0,4.0,2.0,18.2,1.0,0.0,1.0,0.0,100.0,0.0,3.0,2.0,17.5,0.37,2.5,0.23,37.0,79.0,46.8,161.0,33.0,25.5,31.0,88.0,43.2,37.7,83.0,4.0,4.8,2.0,0.18,13.3
10,2021-2022,Premier-League,Vicente Guaita,es ESP,GK,Crystal Palace,34-308,1987,11.0,11.0,990.0,11.0,14.0,1.27,45.0,31.0,68.9,3.0,6.0,2.0,4.0,36.4,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,10.9,0.25,-3.1,-0.28,56.0,129.0,43.4,275.0,58.0,32.7,32.6,71.0,54.9,39.9,82.0,6.0,7.3,5.0,0.45,13.0
11,2021-2022,Premier-League,Caoimhín Kelleher,ie IRL,GK,Liverpool,22-356,1998,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,5.0,7.0,71.4,38.0,3.0,15.8,24.6,5.0,20.0,20.6,3.0,0.0,0.0,1.0,1.0,14.6
12,2021-2022,Premier-League,Tim Krul,nl NED,GK,Norwich City,33-225,1988,11.0,11.0,990.0,11.0,26.0,2.36,61.0,37.0,60.7,1.0,2.0,8.0,2.0,18.2,3.0,2.0,1.0,0.0,33.3,0.0,3.0,2.0,23.4,0.36,-0.6,-0.05,84.0,224.0,37.5,363.0,62.0,47.1,40.6,94.0,56.4,46.3,107.0,6.0,5.6,5.0,0.45,12.5
13,2021-2022,Premier-League,Bernd Leno,de GER,GK,Arsenal,29-255,1992,3.0,3.0,270.0,3.0,9.0,3.0,18.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.1,0.39,-1.9,-0.65,11.0,39.0,28.2,61.0,11.0,37.7,36.3,26.0,61.5,45.7,30.0,2.0,6.7,1.0,0.33,13.1
14,2021-2022,Premier-League,Hugo Lloris,fr FRA,GK,Tottenham,34-323,1986,11.0,11.0,990.0,11.0,16.0,1.45,44.0,30.0,65.9,5.0,1.0,5.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,15.2,0.33,0.2,0.02,65.0,146.0,44.5,193.0,37.0,47.7,38.7,97.0,55.7,42.7,104.0,3.0,2.9,5.0,0.45,14.1
15,2021-2022,Premier-League,Emiliano Martínez,ar ARG,GK,Aston Villa,29-073,1992,10.0,10.0,900.0,10.0,17.0,1.7,45.0,29.0,62.2,3.0,1.0,6.0,3.0,30.0,2.0,0.0,1.0,1.0,100.0,1.0,4.0,1.0,12.9,0.27,-3.1,-0.31,68.0,158.0,43.0,254.0,37.0,46.5,40.0,82.0,48.8,41.4,71.0,5.0,7.0,12.0,1.2,16.5
16,2021-2022,Premier-League,Alex McCarthy,eng ENG,GK,Southampton,31-346,1989,11.0,11.0,990.0,11.0,12.0,1.09,40.0,27.0,70.0,3.0,5.0,3.0,5.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.2,0.33,1.2,0.11,55.0,179.0,30.7,268.0,45.0,44.4,39.1,81.0,74.1,56.1,108.0,15.0,13.9,2.0,0.18,12.7
17,2021-2022,Premier-League,Edouard Mendy,sn SEN,GK,Chelsea,29-258,1992,10.0,10.0,900.0,10.0,4.0,0.4,29.0,26.0,93.1,7.0,2.0,1.0,6.0,60.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.6,0.17,2.6,0.26,32.0,79.0,40.5,233.0,33.0,25.8,29.5,63.0,30.2,28.8,83.0,8.0,9.6,4.0,0.4,13.9
18,2021-2022,Premier-League,Illan Meslier,fr FRA,GK,Leeds United,21-257,2000,11.0,11.0,990.0,11.0,18.0,1.64,54.0,37.0,68.5,2.0,5.0,4.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,16.4,0.29,-0.6,-0.06,48.0,127.0,37.8,340.0,80.0,28.5,29.6,97.0,30.9,32.1,57.0,8.0,14.0,14.0,1.27,16.0
19,2021-2022,Premier-League,Jordan Pickford,eng ENG,GK,Everton,27-252,1994,10.0,10.0,900.0,10.0,13.0,1.3,39.0,26.0,66.7,4.0,3.0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.4,0.32,-0.6,-0.06,59.0,204.0,28.9,222.0,36.0,64.4,49.8,78.0,78.2,64.4,93.0,7.0,7.5,6.0,0.6,13.3
20,2021-2022,Premier-League,Nick Pope,eng ENG,GK,Burnley,29-209,1992,11.0,11.0,990.0,11.0,17.0,1.55,48.0,31.0,64.6,1.0,5.0,5.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.3,0.3,-2.7,-0.25,99.0,254.0,39.0,236.0,43.0,72.9,54.3,90.0,91.1,66.5,111.0,14.0,12.6,16.0,1.45,16.5
21,2021-2022,Premier-League,Aaron Ramsdale,eng ENG,GK,Arsenal,23-184,1998,8.0,8.0,720.0,8.0,4.0,0.5,29.0,22.0,86.2,6.0,2.0,0.0,5.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.22,2.2,0.27,56.0,146.0,38.4,228.0,46.0,44.3,38.3,59.0,76.3,58.0,75.0,8.0,10.7,5.0,0.63,15.4
22,2021-2022,Premier-League,David Raya,es ESP,GK,Brentford,26-060,1995,9.0,9.0,810.0,9.0,9.0,1.0,29.0,20.0,69.0,3.0,3.0,3.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.3,0.29,-0.7,-0.08,83.0,221.0,37.6,336.0,45.0,49.4,41.8,77.0,71.4,52.8,74.0,9.0,12.2,13.0,1.44,15.7
23,2021-2022,Premier-League,José Sá,pt POR,GK,Wolves,28-301,1993,11.0,11.0,990.0,11.0,12.0,1.09,44.0,35.0,79.5,5.0,1.0,5.0,2.0,18.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.24,1.2,0.11,49.0,135.0,36.3,217.0,66.0,43.3,41.3,74.0,55.4,46.1,80.0,7.0,8.8,10.0,0.91,15.4
24,2021-2022,Premier-League,Robert Sánchez,es ESP,GK,Brighton,23-361,1997,11.0,11.0,989.0,11.0,12.0,1.09,36.0,26.0,72.2,4.0,5.0,2.0,4.0,36.4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.9,0.25,-1.1,-0.1,69.0,200.0,34.5,447.0,56.0,34.2,36.3,69.0,68.1,54.6,93.0,16.0,17.2,13.0,1.18,15.4
25,2021-2022,Premier-League,Kasper Schmeichel,dk DEN,GK,Leicester City,35-009,1986,11.0,11.0,990.0,11.0,18.0,1.64,52.0,37.0,69.2,4.0,3.0,4.0,1.0,9.1,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,0.23,-4.0,-0.36,73.0,195.0,37.4,334.0,54.0,44.6,38.9,105.0,43.8,39.4,103.0,9.0,8.7,6.0,0.55,12.8
26,2021-2022,Premier-League,Jed Steer,eng ENG,GK,Aston Villa,29-052,1992,1.0,1.0,90.0,1.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.45,-1.2,-1.2,6.0,13.0,46.2,30.0,6.0,30.0,34.5,6.0,66.7,54.0,8.0,1.0,12.5,1.0,1.0,14.3
27,2021-2022,Premier-League,Zack Steffen,us USA,GK,Manchester City,26-226,1995,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.16,0.3,0.31,4.0,9.0,44.4,29.0,5.0,24.1,26.9,7.0,28.6,25.3,6.0,0.0,0.0,2.0,2.0,17.8
28,2021-2022,Premier-League,Freddie Woodman,eng ENG,GK,Newcastle Utd,24-255,1997,4.0,4.0,360.0,4.0,12.0,3.0,19.0,9.0,47.4,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,33.3,0.0,0.0,0.0,8.3,0.33,-3.7,-0.91,21.0,70.0,30.0,79.0,11.0,53.2,43.1,43.0,65.1,52.0,33.0,2.0,6.1,0.0,0.0,11.6
29,2021-2022,Bundesliga,Oliver Baumann,de GER,GK,Hoffenheim,31-165,1990,11.0,11.0,990.0,11.0,17.0,1.55,50.0,33.0,66.0,4.0,2.0,5.0,4.0,36.4,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.4,0.35,-0.6,-0.05,55.0,162.0,34.0,431.0,61.0,31.6,32.5,84.0,31.0,31.1,83.0,5.0,6.0,16.0,1.45,16.1
30,2021-2022,Bundesliga,Fabian Bredlow,de GER,GK,Stuttgart,26-257,1995,4.0,4.0,360.0,4.0,7.0,1.75,24.0,17.0,70.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.8,0.28,-0.2,-0.05,12.0,24.0,50.0,90.0,22.0,23.3,28.7,37.0,8.1,19.9,38.0,1.0,2.6,4.0,1.0,16.0
31,2021-2022,Bundesliga,Sascha Burchert,de GER,GK,Greuther Fürth,32-015,1989,6.0,6.0,540.0,6.0,16.0,2.67,35.0,21.0,57.1,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,11.8,0.34,-2.2,-0.37,51.0,127.0,40.2,169.0,23.0,55.6,45.3,43.0,76.7,56.3,52.0,2.0,3.8,7.0,1.17,16.8
32,2021-2022,Bundesliga,Koen Casteels,be BEL,GK,Wolfsburg,29-142,1992,11.0,11.0,990.0,11.0,12.0,1.09,34.0,23.0,67.6,6.0,1.0,4.0,5.0,45.5,3.0,1.0,2.0,0.0,66.7,0.0,1.0,0.0,12.7,0.33,0.7,0.06,81.0,165.0,49.1,376.0,41.0,33.5,33.8,76.0,51.3,43.3,84.0,5.0,6.0,8.0,0.73,14.4
33,2021-2022,Bundesliga,Mark Flekken,nl NED,GK,Freiburg,28-154,1993,11.0,11.0,990.0,11.0,9.0,0.82,47.0,40.0,83.0,6.0,4.0,1.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.26,5.0,0.45,108.0,260.0,41.5,368.0,49.0,50.0,44.0,97.0,78.4,64.3,96.0,7.0,7.3,9.0,0.82,15.7
34,2021-2022,Bundesliga,Marius Funk,de GER,GK,Greuther Fürth,25-317,1996,5.0,5.0,450.0,5.0,13.0,2.6,22.0,12.0,50.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,11.3,0.43,-0.7,-0.13,44.0,127.0,34.6,186.0,16.0,53.2,44.1,45.0,62.2,50.4,37.0,3.0,8.1,9.0,1.8,18.3
35,2021-2022,Bundesliga,Rafał Gikiewicz,pl POL,GK,Augsburg,34-019,1987,11.0,11.0,990.0,11.0,20.0,1.82,49.0,31.0,63.3,2.0,3.0,6.0,3.0,27.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.1,0.3,-1.9,-0.17,76.0,207.0,36.7,295.0,45.0,47.5,40.4,88.0,76.1,57.7,86.0,7.0,8.1,10.0,0.91,14.4
36,2021-2022,Bundesliga,Péter Gulácsi,hu HUN,GK,RB Leipzig,31-192,1990,11.0,11.0,990.0,11.0,11.0,1.0,36.0,27.0,75.0,5.0,3.0,3.0,3.0,27.3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.3,0.32,2.3,0.21,69.0,159.0,43.4,306.0,48.0,42.2,37.9,64.0,46.9,40.5,79.0,3.0,3.8,16.0,1.45,17.7
37,2021-2022,Bundesliga,Marwin Hitz,ch SUI,GK,Dortmund,34-057,1987,1.0,0.0,45.0,0.5,1.0,2.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.09,0.3,0.54,2.0,3.0,66.7,20.0,5.0,15.0,32.6,3.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,11.8
38,2021-2022,Bundesliga,Timo Horn,de GER,GK,Köln,28-186,1993,11.0,11.0,990.0,11.0,20.0,1.82,51.0,32.0,60.8,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,18.3,0.37,-0.7,-0.06,74.0,134.0,55.2,347.0,39.0,31.7,34.3,70.0,34.3,36.0,77.0,3.0,3.9,11.0,1.0,16.3
39,2021-2022,Bundesliga,Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-355,1989,11.0,11.0,990.0,11.0,17.0,1.55,62.0,46.0,74.2,5.0,3.0,3.0,3.0,27.3,2.0,1.0,1.0,0.0,50.0,1.0,1.0,0.0,18.6,0.28,1.6,0.14,64.0,174.0,36.8,347.0,66.0,35.4,34.7,92.0,55.4,46.6,86.0,5.0,5.8,11.0,1.0,16.1
40,2021-2022,Bundesliga,Gregor Kobel,ch SUI,GK,Dortmund,23-343,1997,11.0,11.0,945.0,10.5,16.0,1.52,43.0,29.0,65.1,8.0,0.0,3.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,16.3,0.36,1.3,0.12,45.0,117.0,38.5,328.0,41.0,28.0,31.5,61.0,41.0,37.1,68.0,8.0,11.8,11.0,1.05,16.0
41,2021-2022,Bundesliga,Andreas Luthe,de GER,GK,Union Berlin,34-249,1987,11.0,11.0,990.0,11.0,17.0,1.55,44.0,29.0,63.6,4.0,5.0,2.0,3.0,27.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.3,0.34,-0.7,-0.06,67.0,206.0,32.5,315.0,52.0,47.3,40.4,86.0,66.3,48.6,94.0,11.0,11.7,7.0,0.64,14.0
42,2021-2022,Bundesliga,Florian Müller,de GER,GK,Stuttgart,24-001,1997,7.0,7.0,630.0,7.0,13.0,1.86,37.0,25.0,67.6,2.0,2.0,3.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.8,0.24,-3.2,-0.46,32.0,67.0,47.8,166.0,30.0,33.7,31.6,52.0,21.2,26.9,63.0,5.0,7.9,6.0,0.86,13.1
43,2021-2022,Bundesliga,Manuel Neuer,de GER,GK,Bayern Munich,35-232,1986,11.0,11.0,990.0,11.0,11.0,1.0,38.0,27.0,71.1,9.0,1.0,1.0,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.26,-1.0,-0.09,73.0,126.0,57.9,459.0,74.0,25.1,30.7,66.0,16.7,27.8,91.0,5.0,5.5,26.0,2.36,22.3
44,2021-2022,Bundesliga,Stefan Ortega,de GER,GK,Arminia,29-008,1992,11.0,11.0,990.0,11.0,16.0,1.45,50.0,37.0,74.0,1.0,5.0,5.0,3.0,27.3,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,16.7,0.28,0.7,0.06,150.0,323.0,46.4,487.0,33.0,53.2,45.0,96.0,66.7,54.1,97.0,7.0,7.2,13.0,1.18,16.8
